trader,n_observations,n_valid_returns,date_span_days,activity_rate,avg_equity,final_pnl,max_gap_days,median_gap_days,total_return,ann_return,sharpe,sortino,calmar,win_rate,profit_factor,max_drawdown,volatility,daily_vol,var_5pct,cvar_5pct,tail_ratio,worst_day,best_day,return_autocorr,skewness,kurtosis,sharpe_stability
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,63,62,156,0.4012738853503185,352482.24987684126,789434.296734,71,1.0,-0.37947088843237337,-0.6725714127282697,-0.5278987990293263,-0.7218042414578951,-0.9510717157163541,0.5,0.9235700594429875,-0.7071721318320187,3.7591119740863044,0.19676091349320954,-0.30425545720312513,-0.4024127986471976,1.131967445135642,-0.6604150733866915,0.4978000962708864,0.03825611169832701,-0.1647295945312953,1.5413078532086009,0.1334198325921571
0x001aba20579795e6ddb8e04ea0a49f44247f09f9,2,1,1,1.0,1842.469399,0.009399,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
0x00303dcbf28e9ca0021b8d0dc5c8708f1f9d378f,47,46,156,0.29936305732484075,3683.071847999999,684.451848,111,1.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
0x00683a1bc0171aae299ac7d922c6b9d58b5a9484,2,1,1,1.0,15521.189588000001,3290.670171,1,1.0,1.183275788898502,5.95166592921621e+123,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15781450874005043,0.15781450874005043,0.0,0.0,0.0,10.0
0x006c179d39697cb3b44dfb94d5516041d3fc4c33,4,3,3,1.0,5698.39748625,1784.374748,1,1.0,0.41638454565511096,2.4757692758340603e+18,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.057380480557003496,0.21235271223502394,0.0,0.0,0.0,10.0
0x00db0a3628191bed577700b1b4ff8423d3215792,109,108,174,0.6228571428571429,5149.196317577981,4759.027449,52,1.0,0.667757771638451,1.9239409188677068,2.5737879290850363,4.273821963363464,4.79513958758082,0.5555555555555556,1.4833409879232289,-0.40122730188097566,1.592278714946327,0.08334367708341112,-0.10544937754579015,-0.15150483763207692,1.3383145615783003,-0.27054068589297725,0.3224007200215118,-0.1588487279177387,0.6250199318040601,2.8735039495421666,0.14527419954977233
0x0101eaee8d0013234c32936963ff504a9954220b,115,114,160,0.7142857142857143,13149.337131513044,7882.632132,27,1.0,12.893116766865312,403.58686880820073,3.201228049774148,5.891317204211239,864.9151642112183,0.4649122807017544,2.4864785217423373,-0.4666201790741664,2.822984754790328,0.14776177537647261,-0.10592332682290367,-0.21660230479965406,2.343993062092994,-0.30714037102655495,0.8755024364415258,0.19153560149467266,3.202774907632229,15.443702639065513,0.22688299242570686
0x0111d73d765d9300bbd0cbc03159b7032b0b06d7,6,1,5,1.0,21309.152108833336,21301.672187,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42330421228846166,0.42330421228846166,0.0,0.0,0.0,10.0
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,174,173,178,0.9720670391061452,913320.9265234197,1983345.915189,6,1.0,0.19426884354076482,0.4391386131811126,1.8855935644952964,2.840099766040078,0.690901086127403,0.5433526011560693,1.3456754017851362,-0.6356027251926116,2.6556793129092195,0.13900460831046274,-0.16862309262670616,-0.2700107720077161,1.3895023390964143,-0.5795452503283227,0.762887267032847,0.01939949855413049,0.5956101800664289,6.166210231673605,0.26287826341224974
0x0146170a34bc0074f5944fd008cccf4d764ed386,141,140,178,0.7877094972067039,35177.9403247234,16920.164271,27,1.0,-0.24356878133402007,-0.43583095460480725,1.9634636084551476,2.0914639048391996,-0.7734952899572708,0.07142857142857142,2.53767403284591,-0.5634565074454213,2.789301759041391,0.1459987268005228,0.0,-0.010508625025215915,5.0,-0.490648806138805,1.2223101139488475,-0.00198478825091608,5.103918613032504,40.45772608387874,0.17675199451878543
0x01cc2fc149c4c0b1c7d7d253e793115b31e25a03,91,90,176,0.5141242937853108,6605.676451593407,8716.415908,57,1.0,-0.26985972236133227,-0.47913724183659356,2.3063839335873135,10.0,-0.9340650807142781,0.022222222222222223,10.0,-0.5129591628349901,0.03194720332238309,0.0016721930478788868,0.0,0.0,5.0,0.0,0.01569809523876109,-0.014905524744290197,9.172001941198687,85.58121733918482,0.012979246964415516
0x0203a5b9ec08244801b0fee5479d9a14903b279e,51,1,178,0.2849162011173184,511.86313725490197,4964.03,111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
0x022e3ce4eda264b3e3fef62036c8182ceb88e6ce,134,28,168,0.7928994082840237,9264.259692955222,2446958.279253,22,1.0,0.0,0.0,-4.002986559571402,-3.092797387024965,0.0,0.42857142857142855,0.14649984799814136,-0.370086023642348,3.592366472650445,0.18803305504962659,-0.07211639139085288,-0.5361436864505603,0.49703944191904065,-0.99,0.039458893195809155,-0.02916134653160415,-5.137775273042027,26.864718954939576,10.0
0x023a3d058020fb76cca98f01b3c48c8938a22355,173,172,178,0.9664804469273743,22024276.671038028,49027270.680753,6,1.0,0.009243664764688325,0.019046755108135915,0.6535943739462029,0.9190252345293504,0.02638284886112489,0.5523255813953488,1.1063337008870078,-0.7219370132617215,1.6947554706661039,0.0887075556287276,-0.14444561940511036,-0.19866708611613945,1.01780540197821,-0.30091569259001993,0.3934645841167825,-0.28937517075853164,0.36878402084886647,3.6389140806005797,0.14013016127702255
