trader,tier,cluster,cluster_label,weight,dollar_allocation,sharpe,sortino,max_drawdown,win_rate,composite_score
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,core,2,high_wr_erratic_pos_skew,0.03081633210076062,3081.633210076062,4.5882165014664515,26.392422165349092,-0.005000223415933066,0.5675675675675675,0.7990654205607477
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,core,1,pos_skew,0.0012738334185263232,127.38334185263233,2.9982497039385843,5.770477112802451,-0.36376218345315237,0.5232558139534884,0.6584112149532709
0x0a88fe672595ac29f214e0e1de712ec58abb525b,satellite,1,pos_skew,0.0037138000540126053,371.3800054012605,2.9268192947626415,0.9751681971428331,-0.2665262487318001,0.4418604651162791,0.4390186915887851
0x0b94d9966717e894d7a145f9642445ab151762c6,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.375034975310684,3.76709025469392,-0.16149241620768515,0.5337078651685393,0.4600467289719626
0x0da551d5369704e0cef6386127d889560800b5f6,core,1,pos_skew,0.0008916833929684261,89.16833929684262,3.143713900185427,5.315018362744201,-0.18183672495200662,0.5616438356164384,0.6619158878504672
0x0ddde365cdff6b4827d2f7d0c66f8c99b18f6e54,satellite,1,pos_skew,0.00021409318265171905,21.409318265171905,2.398739496333616,4.20380068684936,-0.28561942856668765,0.45925925925925926,0.5481308411214953
0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.619900454116617,5.284822043697328,-0.46426578042518707,0.5280898876404494,0.5427570093457944
0x121c93d3accf50bab046fe499fcefc07fbe6386a,core,0,high_vol_pos_skew,0.0010000378270770644,100.00378270770645,2.1482961414031068,11.379005734010054,-0.20577485652646177,0.6372549019607843,0.6948598130841123
0x17241870b9263ad46f3c717bc1a36089c8179d02,core,2,high_wr_erratic_pos_skew,0.04548169918557977,4548.169918557976,7.260774021583999,12.742898442750755,-0.04218887480100559,0.6785714285714286,0.7855140186915888
0x193c6bcb33eab0b35989f2b6d1acc922b66409f2,satellite,1,pos_skew,0.00021409318265171905,21.409318265171905,1.6330848631801353,2.7663883104875246,-0.34578004250997707,0.5348837209302325,0.37266355140186913
0x1a5612386dce50174bd467498afa607df418d7c6,satellite,1,pos_skew,0.00021409318265171905,21.409318265171905,2.102809508673997,3.4634990032732493,-0.35500586321338357,0.4941860465116279,0.5675233644859813
0x1a6fed4bf6ae595834e6d2d56c72dfee26e99715,core,1,pos_skew,0.005305428648589437,530.5428648589437,4.287646972757457,14.453585637581522,-0.060461644011292705,0.42857142857142855,0.8476635514018692
0x1d2a3b568e82678f22df040485b8cc006f3d0ea6,satellite,1,pos_skew,0.00010490565949934233,10.490565949934233,1.81057819307042,3.015937479713458,-0.3194720801265032,0.5232558139534884,0.37640186915887847
0x1e32ab6deb18952c6625e6e65628bb49b5d0a768,core,1,pos_skew,0.0006241783750778983,62.41783750778983,3.3512815285817297,6.202846156963706,-0.4936686698780662,0.5979381443298969,0.7446261682242991
0x1e771e1b95c86491299d6e2a5c3b3842d03b552e,satellite,1,pos_skew,2.518784884579209e-05,2.5187848845792087,2.1936323871479684,3.235407029247241,-0.23350640733213515,0.563953488372093,0.6049065420560747
0x21ee4b39f27afcaa6462d84bd904497f44411c5e,core,0,high_vol_pos_skew,0.004165088825810349,416.50888258103487,3.157283079958313,12.93245805910996,-0.0916080959744195,0.5517241379310345,0.7261682242990655
0x2431edfcb662e6ff6deab113cc91878a0b53fb0f,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.2246805655360986,3.176174487023209,-0.2534799044043086,0.5730337078651685,0.5254672897196262
0x24c2fe1544fef9056db52c91d0b1fb4b1dc4e48f,core,1,pos_skew,0.0003058474037881701,30.58474037881701,3.735495833905875,6.735841959040553,-0.0924878833506254,0.65,0.7649532710280375
0x24d02e64d4a2580d570666546ac937adab2b3e08,satellite,0,high_vol_pos_skew,1.3841810776437614e-05,1.3841810776437613,1.2990778868677784,6.498962043285394,-0.42489229964963204,0.5202312138728323,0.4481308411214953
0x250a09aafe5c4e63a8c11d1743e19694d79ce113,satellite,1,pos_skew,1.763149419205446e-05,1.763149419205446,2.0841752189772396,3.9480031351094427,-0.24719172735989825,0.5224719101123596,0.4593457943925233
0x29721caea4427b6bf8061f2fee469a62be1d02be,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.888768576433292,4.24359773732257,-0.45032449555158083,0.6204379562043796,0.577570093457944
0x2b294f5aaf6d6f8081bc98069ebd8c4eb60cda44,core,0,high_vol_pos_skew,0.008500181277163978,850.0181277163979,2.44216777955964,33.2850358910769,-0.4264442850303221,0.4772727272727273,0.760981308411215
0x2cd9f4645b14bf968212c7c108213eaeb193946e,core,1,pos_skew,0.005305428648589437,530.5428648589437,3.9067461611853904,4.507791042131672,-0.10042213418820753,0.417910447761194,0.6827102803738317
0x2ebdee94cb5df4a8f4b5acab118f6d4e55896aed,satellite,2,high_wr_erratic_pos_skew,0.002915562178067244,291.5562178067244,2.4973453869317868,5.536919740027776,-0.2723117610476499,0.5780346820809249,0.5460280373831776
0x2f7479ad52a75eb90a9b2acfb296a39d41828c36,satellite,1,pos_skew,0.0003058474037881701,30.58474037881701,2.0468786506027477,3.3723346642665373,-0.3814590548769235,0.4968944099378882,0.4967289719626168
0x31dea2516beee92135b96f464eeec3cf292a13f2,core,1,pos_skew,0.005305428648589437,530.5428648589437,2.9173234626170808,4.556689281032931,-0.18897090168063208,0.5449438202247191,0.7245327102803738
0x32d7fb99e113c5480410768041302149897d4214,core,1,pos_skew,0.005305428648589437,530.5428648589437,3.3240832373930735,5.9856155897328085,-0.10005994915428278,0.35526315789473684,0.6962616822429907
0x335f45392f8d87745aaae68f5c192849afd9b60e,satellite,1,pos_skew,0.0037138000540126053,371.3800054012605,2.102201461677637,4.120405582098801,-0.28368064270708443,0.5056179775280899,0.41542056074766354
0x33821578405bd53f0eed2895496922b528d95e21,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.74596250522106,4.182929506199957,-0.3888440619695105,0.36363636363636365,0.5670560747663551
0x3998ad17e3fd11f60c24cd3d8b6552a4eb4ff3f6,satellite,1,pos_skew,0.0013799996971518346,137.99996971518345,2.0355948264220203,2.2723111719636213,-0.059501571449068216,0.45614035087719296,0.5376168224299065
0x3a1191221d6cf7584fa220378b1d911c5a051f95,core,0,high_vol_pos_skew,0.01734730872890608,1734.730872890608,2.6155532445274576,46.04539932777863,-0.15746571456543246,0.5406976744186046,0.7035046728971962
0x3a6747c8e913085e243a2c22d188dafa8c6a612a,satellite,2,high_wr_erratic_pos_skew,0.012143116110234255,1214.3116110234255,2.272745429034453,2.225229556972181,-0.22066135813058838,0.6744186046511628,0.3841121495327102
0x3a9953003034c9d4f512e91f7dbc0e0698142a5f,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.7701637717696697,4.153870623361831,-0.2832109470065537,0.3977272727272727,0.5315420560747663
0x3c16fc881bbbde5771e9026fc888bf5493e3b4b1,satellite,2,high_wr_erratic_pos_skew,0.012143116110234255,1214.3116110234255,2.3350550253607247,2.2846001778885774,-0.15274712148774677,0.7303370786516854,0.6116822429906542
0x3d6184223dd0d5239947793746faec00b63ae990,satellite,1,pos_skew,0.0037138000540126053,371.3800054012605,1.8584873500463657,3.251251506645749,-0.2819332278665804,0.3620689655172414,0.430607476635514
0x3dd7cac1a7bc4b8c40af140e18dbfdcfb9e73a62,core,1,pos_skew,0.0012738334185263232,127.38334185263233,3.178451629167093,5.7342298830472815,-0.3947039496844248,0.6116504854368932,0.705607476635514
0x3e6c5926f682b372c0a916a5c245ecd7ea8b9d8c,satellite,1,pos_skew,0.00021409318265171905,21.409318265171905,1.7722459105215782,4.833382994679058,-0.2545597453146111,0.48201438848920863,0.5135514018691589
0x406073860818ecfb7dca0706a6bac73faa95bd3e,core,1,pos_skew,0.0018197620264661762,181.97620264661762,3.2581780760958496,6.633366951938047,-0.16845190214791658,0.5955056179775281,0.7850467289719626
0x40f565826fdda5c2f8f174fdb51cf4d5b516fd75,satellite,1,pos_skew,6.047602507874679e-06,0.6047602507874679,3.0393697283013656,5.43600760611457,-0.07318752813930693,0.5068493150684932,0.5848130841121495
0x44f481f406d178c278346c5f94d8ac19438f7edd,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,3.095015346031235,4.597493301366529,-0.0965075714044496,0.5423728813559322,0.6011682242990655
0x45c42fbd450b5506f8dc819d46036630fe75b81e,satellite,2,high_wr_erratic_pos_skew,0.01734730872890608,1734.730872890608,2.2213342221055767,4.472732553633272,-0.4966212741375621,0.5,0.43668224299065417
0x47807d3f6ae34ff6aa1fc8fe4e7b742197c1e125,core,1,pos_skew,0.0018197620264661762,181.97620264661762,3.5935413721858325,9.141853325697191,-0.4487684386071079,0.5348837209302325,0.7200934579439252
0x4a19c9768629266caad38bd6857c6a4161532c19,satellite,0,high_vol_pos_skew,0.0007000264789539452,70.00264789539452,1.8585756409874172,14.815158251880682,-0.3415001055828495,0.5581395348837209,0.5551401869158878
