trader,n_observations,n_valid_returns,date_span_days,activity_rate,avg_equity,final_pnl,max_gap_days,median_gap_days,total_return,ann_return,sharpe,sortino,calmar,win_rate,profit_factor,max_drawdown,volatility,daily_vol,var_5pct,cvar_5pct,tail_ratio,worst_day,best_day,return_autocorr,skewness,kurtosis,sharpe_stability,composite_score,cluster,pca_1,pca_2,cluster_label,tier
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,75,74,80,0.9259259259259259,517085.7331848533,76529.2041120001,6,1.0,0.16217747305792468,0.9852059454921296,4.5882165014664515,26.392422165349092,197.03238506359529,0.5675675675675675,9.38283199539665,-0.005000223415933066,0.15883593986896818,0.008313853069451864,-0.0016111208287091059,-0.0035495641780397226,5.990027574758576,-0.004327740504966545,0.06610150078251277,-0.045701246856160775,6.628675854945315,49.868018750260454,0.2455812326874529,0.7990654205607477,2,0.7225204394591814,1.169477706446023,high_wr_erratic_pos_skew,core
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,173,172,178,0.9664804469273743,629411.2940956763,686623.443854,7,1.0,6.157937316735078,55.59725839600455,2.9982497039385843,5.770477112802451,152.83957740803675,0.5232558139534884,1.9370060636033903,-0.36376218345315237,1.1605479360931705,0.0607458553063864,-0.05483876924354727,-0.0912213281061795,1.679721757142531,-0.1995390692928808,0.3502599248483852,-0.18020981327046767,2.673734095609408,13.372977297032515,0.20340291495903348,0.6584112149532709,1,-0.5546485628329318,-0.2720487280514195,pos_skew,core
0x0762a621091357d600af930ad21ca493ab5b0282,173,172,178,0.9664804469273743,199510.26452227746,330573.303017,6,1.0,0.19672144825228158,0.4452055461766389,1.3667592211895419,2.345606206527759,2.0164726878376755,0.48255813953488375,1.208860158923357,-0.22078431751736058,2.17011274531778,0.113588892561725,-0.1585321019003531,-0.21303341899798672,1.4143889251633874,-0.285561650465717,0.3066926848153583,-0.01279501297637922,0.26958960479776256,0.2989089846812054,0.18588443129376203,0.2869158878504673,1,-0.5546877475354626,-0.6639405901637606,pos_skew,watch
0x0a88fe672595ac29f214e0e1de712ec58abb525b,173,172,178,0.9664804469273743,3063.720926630058,2082.84841,7,1.0,-0.158833755873772,-0.2986003206920692,2.9268192947626415,0.9751681971428331,-1.1203411375535646,0.4418604651162791,2.7315841091809974,-0.2665262487318001,0.3210243983473011,0.01680318498301077,0.0,-0.0026635123075426036,5.0,-0.13694396955201565,0.12216478504305232,-0.092203059271341,-1.3369644471973392,42.94020956832684,0.27384617956014007,0.4390186915887851,1,-0.7978823498742419,0.165334154063483,pos_skew,satellite
0x0b94d9966717e894d7a145f9642445ab151762c6,179,178,178,1.0,2571.1586633351953,679.525055,1,1.0,0.39667881285708745,0.9839441051963402,2.375034975310684,3.76709025469392,6.092819268559039,0.5337078651685393,1.4246666457613695,-0.16149241620768515,0.3085544193124955,0.0161504764489092,-0.02315105240064919,-0.03330619337371047,1.5632964748688274,-0.049494046155238336,0.058143710761103,-0.03218192165145178,0.33366308857281674,1.5693550035233126,0.25592189280513566,0.4600467289719626,1,-1.233463253488842,0.7031453206278138,pos_skew,satellite
0x0da551d5369704e0cef6386127d889560800b5f6,74,73,79,0.925,29075.719845243246,28051.035272,6,1.0,0.331014276259897,2.7476202403963534,3.143713900185427,5.315018362744201,15.110370257281916,0.5616438356164384,1.547169066205187,-0.18183672495200662,1.7962036552515932,0.09401759630026689,-0.14810895327093235,-0.1835150525860273,1.1193913327352654,-0.2295515430986056,0.3435002915994642,-0.2879738357849772,0.30586315013933196,1.6332797535389174,0.07664328380229761,0.6619158878504672,1,-1.1518139196223751,-1.9510754456784134,pos_skew,core
0x0ddde365cdff6b4827d2f7d0c66f8c99b18f6e54,136,135,135,1.0,345269.46327117644,260282.819947,1,1.0,1.5943575531825456,12.164791497772656,2.398739496333616,4.20380068684936,42.590910425172176,0.45925925925925926,1.4806481872350175,-0.28561942856668765,1.433514609963982,0.07503358402377278,-0.10960724756433624,-0.13778224691132163,1.395470794862975,-0.18795183972134866,0.3216840877258775,-0.14630870126453221,0.9114800721009879,2.613318940290059,0.15953479490814307,0.5481308411214953,1,-0.7826427679257055,-1.3070222313208961,pos_skew,satellite
0x0f84b48b64f433bbbba6170d7a87121056b3e86b,173,172,178,0.9664804469273743,7954.584319115607,3774.264631,7,1.0,0.5418544098853074,1.4299343772160853,1.054485981217235,1.7480063738163882,3.7989748761819437,0.5058139534883721,1.1732273010308618,-0.3764000615484991,0.898962823379935,0.04705386472762991,-0.06941230336235296,-0.08998004631994676,1.301494398710546,-0.13356020207721675,0.15629649084229352,0.05126012416652632,0.6427263220714878,1.9294323663188089,0.21461748258627006,0.20724299065420562,1,-0.7831383801496341,0.14887690284033525,pos_skew,watch
0x0fd468a73084daa6ea77a9261e40fdec3e67e0c7,179,178,178,1.0,2003855.372705704,1860261.417023,1,1.0,1.2513599067296899,4.280926275580179,2.619900454116617,5.284822043697328,9.220852485960934,0.5280898876404494,1.5064425335496912,-0.46426578042518707,0.7507338040036754,0.039295203251267646,-0.04960250487075791,-0.06276237929124201,1.517332928145063,-0.09738640919818832,0.16706985225166016,-0.1036032593265335,1.2230826443508587,3.29637393467411,0.2120132220789094,0.5427570093457944,1,-0.9835383843640831,-0.01264786428890184,pos_skew,satellite
0x110b4ce3941ac23ad5682ef25a841d60517903c8,103,102,107,0.9537037037037037,249222.62895268932,97017.263825,6,1.0,15156.692929692737,182405597294125.72,0.8563693409319321,1.6002363782092384,1082808327744223.2,0.46078431372549017,1.1862646526637646,-0.16845603475743942,1.1582853300038118,0.06062742509092953,-0.06077050332685617,-0.09322019074994264,1.0300902874883566,-0.19367365818576376,0.4636360327674248,-0.07444376365952234,4.074923985859451,33.55683307664717,0.18865171434137132,0.2609813084112149,1,0.30520336907560264,-0.4693927944225764,pos_skew,watch
0x121c93d3accf50bab046fe499fcefc07fbe6386a,103,102,108,0.944954128440367,9800.236610427186,11650.07856,6,1.0,329.644535032391,326970266.618309,2.1482961414031068,11.379005734010054,1588970937.157534,0.6372549019607843,6.94799296739963,-0.20577485652646177,3.0887264704083583,0.16167133249493687,-0.011107416768771456,-0.04140327594284029,2.2295838380873585,-0.16623959959747361,1.6221006071309678,0.012950582450355352,9.845012618615346,98.71122090701694,0.29328846670449793,0.6948598130841123,0,2.8529435062684096,2.597755627008556,high_vol_pos_skew,core
0x14e2ad432297508f8ef3b26d7e99e81d64d05b57,173,172,178,0.9664804469273743,270474.9668766995,343916.623228,7,1.0,1.1045771349941882,3.5990644016724964,1.5908180239544532,3.89291306489094,12.855652500322632,0.43023255813953487,1.6735140252206817,-0.27995968322744974,1.4892535359711174,0.07795109275293483,-0.046242154261040024,-0.08707974175260387,1.3973621466926343,-0.19843575024981797,0.8899672985843653,0.11613908956268425,8.602132289463208,97.55277857230816,0.23224063131697678,0.36448598130841114,0,2.646301459028946,0.7684016367473153,high_vol_pos_skew,watch
0x17241870b9263ad46f3c717bc1a36089c8179d02,113,112,118,0.9495798319327731,20614.426811176992,6326.032594,6,1.0,0.39541718852106206,1.8028610409528492,7.260774021583999,12.742898442750755,42.733091353028385,0.6785714285714286,4.7666492466138015,-0.04218887480100559,0.15113554085597664,0.00791079576376288,-0.0052786429061584,-0.011002944508145296,3.0284641717965175,-0.01635317317862763,0.05497562466888684,0.09046199877634369,2.656339617634631,16.346607142661366,0.3199458599855485,0.7855140186915888,2,-0.6274805722608156,2.9030596366001156,high_wr_erratic_pos_skew,core
